Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,COSPAR,Tag
1984 Jan 26 1200,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1534,1984-007A,
1984 Jan 29 1225,XICLF,"Xichang Launch Facility, China",28.25,102,Chang Zheng 3,S,Shiyan Weixing,1984-008A,
1984 Jan 31 0308:01,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Titan 34D/Transtage,S,OPS 0441,1984-009A,
1984 Feb 2 1738,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1535,1984-010A,
1984 Feb 3 1300:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Space Shuttle,S,Challenger (STS 41-B),1984-011A,Space Shuttle
1984 Feb 5 1844,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas H,S,OPS 8737,1984-012A,
1984 Feb 8 0923,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Tsiklon-3,S,Kosmos-1536,1984-013A,
1984 Feb 8 1207:26,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Soyuz T-10,1984-014A,
1984 Feb 14 0800,KSCUT,"Uchinoura Space Center, Japan",31.2,131.1,Mu-3S,S,Ohzora,1984-015A,
1984 Feb 15 0846:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM,S,Raduga,1984-016A,
1984 Feb 16 0815,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1537,1984-017A,
1984 Feb 21 0646:05,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Progress-19,1984-018A,
1984 Feb 21 1536,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1538,1984-019A,
1984 Feb 28 1359:59,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1539,1984-020A,
1984 Mar 1 1759,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Delta 3920,S,Landsat 5,1984-021A,
1984 Mar 2 0354:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM,S,Kosmos-1540,1984-022A,
1984 Mar 5 0050:03,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 1,S,INTELSAT 508,1984-023A,
1984 Mar 6 1710:18,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,Kosmos-1541,1984-024A,
1984 Mar 7 0800,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U2,S,Kosmos-1542,1984-025A,
1984 Mar 10 1700,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1543,1984-026A,
1984 Mar 15 1705,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Tsiklon-3,S,Kosmos-1544,1984-027A,
1984 Mar 16 1400:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM,S,Ekran,1984-028A,
1984 Mar 16 2329:59,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,Molniya-1,1984-029A,
1984 Mar 21 1105,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U-PVB,S,Kosmos-1545,1984-030A,
1984 Mar 29 0552:56,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM,S,Kosmos-1546,1984-031A,
1984 Apr 3 1308:42,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Soyuz T-11,1984-032A,
1984 Apr 4 0140:04,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,Kosmos-1547,1984-033A,
1984 Apr 6 1358:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Space Shuttle,S,Challenger (STS 41-C),1984-034A,Space Shuttle
1984 Apr 8 1120,XICLF,"Xichang Launch Facility, China",28.25,102,Chang Zheng 3,S,Shiyan Tongbu Tongxin Wx.,1984-035A,
1984 Apr 10 1400,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1548,1984-036A,
1984 Apr 14 1652:02,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Titan 34D/Transtage,S,DSP F11,1984-037A,
1984 Apr 15 0812:53,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U2,S,Progress-20,1984-038A,
1984 Apr 17 1845,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan 24B,S,OPS 8424,1984-039A,
1984 Apr 19 1140,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1549,1984-040A,
1984 Apr 22 0421:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM,S,Gorizont,1984-041A,
